candidate_key,probe_family,variable_id,variable,representation,layer_idx,layer_name,hidden_dim,regularization_c,train_accuracy,train_balanced_accuracy,train_f1,train_auroc,train_n,train_positive_rate,val_accuracy,val_balanced_accuracy,val_f1,val_auroc,val_n,val_positive_rate,test_accuracy,test_balanced_accuracy,test_f1,test_auroc,test_n,test_positive_rate,suspiciously_high_test_auroc,possible_overfit,weak_signal,selected_by,val_auroc_ci_lower,val_auroc_ci_upper,val_auroc_bootstrap_valid_samples,test_auroc_ci_lower,test_auroc_ci_upper,test_auroc_bootstrap_valid_samples
delta_direction_basis_to_changed|var=1|repr=final_token|layer=0,delta_direction_basis_to_changed,1,Subject expression / pro-drop,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=2|repr=mean_pooled|layer=12,delta_direction_basis_to_changed,2,basic_constituent_order,mean_pooled,12,layer_12,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.9,0.9,0.9,0.9740000000000001,100,0.5,0.5,0.5,0.5,0.6220000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9474069734781123,0.9923350794863399,1000.0,0.5126044451871657,0.7304192467948717,1000.0
delta_direction_basis_to_changed|var=3|repr=mean_pooled|layer=10,delta_direction_basis_to_changed,3,nominal_modifier_order,mean_pooled,10,layer_10,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.54,0.54,0.54,0.5324,100,0.5,False,False,True,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.4195095984836878,0.6442508012820513,1000.0
delta_direction_basis_to_changed|var=4|repr=final_token|layer=8,delta_direction_basis_to_changed,4,case_marking,final_token,8,layer_8,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.966,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9291623769507804,0.9931970373376623,1000.0
delta_direction_basis_to_changed|var=5|repr=final_token|layer=3,delta_direction_basis_to_changed,5,morphosyntactic_alignment,final_token,3,layer_3,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,0.92,0.92,0.92,0.9808,100,0.5,0.86,0.86,0.86,0.9684,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9565076855511638,0.9963869931754314,1000.0,0.9367792767577251,0.9895836459583834,1000.0
delta_direction_basis_to_changed|var=6|repr=final_token|layer=0,delta_direction_basis_to_changed,6,transitivity_valency,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=7|repr=final_token|layer=0,delta_direction_basis_to_changed,7,voice_and_agent_prominence,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.92,0.92,0.92,0.98,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9560702405282676,0.9967987515006002,1000.0
delta_direction_basis_to_changed|var=8|repr=final_token|layer=0,delta_direction_basis_to_changed,8,causativity_and_valency_change,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.8,0.8,0.8,0.9600000000000001,100,0.5,False,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9212846377518021,0.9855769230769231,1000.0
delta_direction_basis_to_changed|var=9|repr=final_token|layer=0,delta_direction_basis_to_changed,9,analytic_vs_synthetic_encoding,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,1.0,1.0,1.0,1.0,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9999999999999999,1.0,1000.0
delta_direction_basis_to_changed|var=10|repr=final_token|layer=0,delta_direction_basis_to_changed,10,morphological_segmentation_type,final_token,0,layer_0,1024,1.0,1.0,1.0,1.0,1.0,800,0.5,1.0,1.0,1.0,1.0,100,0.5,0.9,0.9,0.9,0.9772000000000001,100,0.5,True,False,False,validation_auroc_then_validation_balanced_accuracy,0.9999999999999999,1.0,1000.0,0.9503009744169921,0.9943977591036415,1000.0
